,SalePrice
2506,146000
2507,146500
2508,109500
2509,144000
2510,172500
2511,275500
2512,291000
2513,200500
2514,337500
2515,143750
2516,164000
2517,279500
2518,149000
2519,140500
2520,170000
2521,255500
2522,119000
2523,120000
2524,144900
2525,127500
2526,163500
2527,242500
2528,193000
2529,153900
2530,225000
2531,85000
2532,157000
2533,137900
2534,152000
2535,163000
2536,257500
2537,201000
2538,159900
2539,145000
2540,136500
2541,162900
2542,157500
2543,124900
2544,161000
2545,137000
2546,110500
2547,120000
2548,110000
2549,200000
2550,126500
2551,119200
2552,129500
2553,126000
2554,178000
2555,224900
2556,240000
2557,135000
2558,163000
2559,159500
2560,170000
2561,163900
2562,179000
2563,119000
2564,159000
2565,171900
2566,335000
2567,141000
2568,112900
2569,185000
2570,129500
2571,115000
2572,109900
2573,129800
2574,196500
2575,121000
2576,139600
2577,145000
2578,217500
2579,215000
